,APL,Ada,Apex,Assembly,Bash/Shell (all shells),C,C#,C++,Clojure,Cobol,Crystal,Dart,Delphi,Elixir,Erlang,F#,Flow,Fortran,GDScript,Go,Groovy,HTML/CSS,Haskell,Java,JavaScript,Julia,Kotlin,Lisp,Lua,MATLAB,Nim,OCaml,Objective-C,PHP,Perl,PowerShell,Prolog,Python,R,Raku,Ruby,Rust,SAS,SQL,Scala,Solidity,Swift,TypeScript,VBA,Visual Basic (.Net),Zig
APL,101,48,41,71,82,79,59,68,58,42,40,48,38,53,50,49,30,39,33,53,31,87,70,56,85,48,53,60,53,28,39,50,35,44,37,43,43,86,33,29,42,88,27,77,40,37,43,76,30,36,53
Ada,51,277,51,107,164,164,113,165,49,44,44,70,61,50,48,45,29,40,38,111,35,147,58,123,164,55,80,49,50,35,37,51,44,63,34,65,39,230,48,29,49,160,34,180,48,39,60,146,35,41,54
Apex,35,46,278,37,133,54,126,65,42,32,33,52,40,39,33,33,33,29,32,109,46,242,37,134,284,34,65,28,34,27,27,25,32,80,38,71,28,208,42,24,47,115,28,262,38,36,46,174,30,35,44
Assembly,125,164,74,1875,1994,2130,1081,2007,215,119,103,446,221,274,180,202,57,132,198,1081,117,1636,573,997,1688,262,695,324,570,223,153,190,175,533,168,488,134,2438,259,73,299,2161,67,1638,220,158,423,1515,115,153,566
Bash/Shell (all shells),242,288,162,2354,17120,4992,4969,5726,953,225,314,1997,296,1662,789,785,94,288,677,7999,701,10583,1809,5159,11355,1017,3996,1016,2321,460,470,576,408,2789,687,2857,324,13871,1196,161,1825,11703,126,11095,1281,611,1923,11080,281,368,1785
C,210,309,125,2391,5193,7334,3338,6395,498,185,215,1493,397,828,482,440,77,279,492,3971,280,5497,1380,3238,6064,797,2316,813,1630,558,360,471,431,1596,461,1343,253,8476,807,122,942,7274,122,5436,588,448,1317,5199,235,381,1586
C#,125,165,142,1226,4253,2704,15209,4411,374,161,181,1809,508,755,305,1569,89,142,605,4303,300,9591,807,3331,10333,414,2829,381,1179,304,243,243,331,1873,248,3745,156,8311,707,76,896,6662,125,10190,519,403,1461,10220,381,775,897
C++,192,257,120,2175,5174,5318,4481,9772,453,170,191,1642,462,761,400,497,78,272,565,4070,300,6088,1305,3589,6867,856,2551,678,1561,591,332,421,430,1728,390,1619,242,9726,872,108,930,7918,126,5917,585,460,1408,6004,246,451,1404
Clojure,56,42,32,86,292,146,114,106,757,32,43,98,26,171,80,93,26,38,56,222,48,316,137,197,318,71,164,178,104,26,57,77,32,65,37,61,52,312,57,30,110,392,23,327,88,31,68,292,26,30,144
Cobol,45,47,42,88,155,114,168,114,48,117,39,66,80,48,42,47,33,46,38,117,45,229,47,180,247,48,98,47,60,35,39,38,43,125,46,108,39,241,64,28,62,137,37,302,45,45,66,158,59,66,47
Crystal,39,43,34,57,117,75,126,79,55,35,187,64,41,93,45,57,31,36,53,102,34,159,60,56,166,46,62,40,63,29,48,42,37,63,37,67,34,131,46,32,121,132,31,173,37,38,58,136,45,63,73
Dart,67,68,58,302,1108,664,1147,929,148,65,87,3088,73,323,124,147,45,55,221,1562,116,2081,276,1103,2361,186,1344,113,331,103,102,87,127,638,71,401,69,2241,193,40,338,1916,55,1883,208,200,782,2405,54,105,350
Delphi,40,57,51,168,370,341,705,465,46,50,44,135,1777,60,50,73,32,51,54,279,61,774,62,328,904,62,205,54,116,60,39,40,76,423,70,296,45,833,107,30,98,355,38,1346,57,51,142,484,124,99,62
Elixir,56,45,33,106,476,199,182,166,179,40,100,149,27,1483,463,121,32,34,81,442,40,676,229,157,620,100,221,134,177,31,73,111,32,102,45,67,66,496,60,31,284,916,23,679,110,63,169,680,23,29,291
Erlang,51,44,32,77,271,177,99,140,91,38,52,81,30,470,479,67,26,38,48,183,45,261,143,113,251,60,112,96,109,31,45,82,34,61,42,58,67,270,49,26,101,409,25,314,66,41,80,238,29,36,136
F#,39,33,26,80,186,108,472,132,78,26,43,70,27,109,53,487,25,27,39,153,33,267,145,82,255,70,135,67,87,28,51,80,33,61,36,193,40,239,51,27,51,342,23,329,81,38,78,374,30,45,97
Flow,31,31,38,38,63,38,52,41,35,31,31,41,30,40,33,35,53,29,30,53,30,93,37,54,107,27,46,29,33,30,29,29,31,42,28,42,31,74,28,25,35,79,25,77,27,28,42,112,28,31,31
Fortran,42,48,38,127,301,254,168,316,56,47,39,62,89,51,48,45,30,203,41,141,41,269,90,169,279,140,99,89,88,74,37,54,53,118,65,107,44,456,112,35,64,259,34,320,48,45,84,171,58,60,61
GDScript,43,38,34,176,430,350,467,463,77,37,65,208,34,131,62,83,30,37,941,375,43,699,153,234,640,90,301,93,253,37,95,63,38,158,47,111,45,742,77,31,107,803,29,445,63,51,119,675,33,44,199
Go,102,103,58,666,3631,1702,1615,1754,410,89,184,1082,93,930,364,310,49,85,321,7239,233,3646,728,1720,4091,383,1681,395,990,115,270,299,153,882,210,648,141,4816,317,70,720,5623,66,4218,496,307,836,4824,74,117,1245
Groovy,39,41,47,142,1148,309,426,375,118,39,50,234,47,145,79,89,30,34,76,903,892,924,133,1299,1143,84,917,87,193,42,68,58,67,163,77,315,48,1295,114,28,167,959,33,1150,224,68,231,1105,37,49,147
HTML/CSS,248,297,325,2217,11110,5207,11307,7173,936,280,386,3966,617,2177,767,1174,143,274,1091,10331,706,28721,1755,8093,25906,992,5904,911,2621,633,535,543,611,6363,622,4273,334,18828,1654,164,2848,14179,262,19308,1222,1148,3193,23168,573,963,1988
Haskell,103,59,35,269,626,506,315,498,195,45,73,169,34,259,133,171,33,59,93,441,46,597,955,316,563,180,311,252,269,49,99,204,42,124,61,137,112,829,116,45,126,1111,34,561,216,62,155,714,32,46,291
Java,182,253,206,1556,6447,3760,5110,4981,815,213,196,2513,291,1106,491,575,109,205,549,6567,911,9303,1265,11803,11150,681,6648,602,1482,454,333,397,458,2229,402,1953,255,11100,1005,113,1280,8567,166,9954,1521,608,2056,10395,308,540,1262
JavaScript,259,324,355,2382,12393,5844,12743,8175,1204,284,440,4542,708,2696,924,1347,154,270,1150,12836,817,26106,2084,9686,32216,1098,7010,1028,2889,632,575,659,686,6887,713,4516,379,21857,1737,182,3282,17381,265,21630,1546,1339,3678,27682,572,975,2399
Julia,60,57,38,119,308,244,160,304,98,43,62,101,40,117,60,72,33,72,64,210,47,274,157,131,270,634,128,113,140,70,67,81,44,70,61,102,64,542,150,40,78,508,33,281,91,50,86,267,38,35,138
Kotlin,70,84,63,473,1840,924,1436,1280,269,83,97,1170,77,455,194,257,52,72,237,1965,279,2522,422,2470,2799,218,4822,189,479,111,139,149,196,632,104,526,96,2836,234,50,422,2854,56,2647,459,196,1228,3219,78,144,460
Lisp,83,66,32,250,516,432,188,337,264,47,60,109,51,180,143,100,30,71,76,309,55,437,292,226,409,155,169,732,212,50,76,140,58,117,103,116,105,608,117,52,148,648,34,464,104,45,142,366,45,46,202
Lua,88,77,37,699,1980,1427,1177,1508,239,71,113,445,72,442,194,207,38,75,327,1685,94,2052,588,795,2017,282,777,337,2560,90,186,221,89,504,155,438,91,2433,205,64,329,2983,40,1805,201,128,332,2260,72,88,786
MATLAB,70,86,61,335,939,884,692,1206,102,65,49,307,83,144,86,118,48,116,88,701,71,1105,232,667,1252,379,454,138,250,612,68,80,84,344,91,366,70,2091,365,45,185,1142,61,1221,149,150,264,983,92,125,182
Nim,42,37,24,73,138,118,60,99,49,30,48,63,29,64,31,44,26,27,59,108,36,130,79,59,116,48,76,59,63,22,178,45,28,47,33,41,29,162,31,28,42,163,21,90,36,29,44,122,21,24,100
OCaml,46,45,26,106,201,181,86,147,64,33,38,61,29,97,63,70,25,36,37,126,31,167,149,93,171,68,94,87,89,26,48,331,32,49,34,41,47,241,41,25,48,332,21,167,64,31,69,199,29,27,102
Objective-C,46,54,42,177,477,365,423,487,69,43,46,262,76,109,74,72,38,40,67,405,63,664,97,371,781,67,479,74,112,39,46,43,456,222,66,174,47,690,89,30,174,554,41,626,77,74,884,694,52,69,117
PHP,111,140,150,800,4013,1942,3274,2538,278,141,127,1644,424,645,274,276,81,117,372,3902,251,8512,514,2899,9434,305,2126,272,934,234,167,176,294,6808,360,1384,129,6444,643,83,949,4186,147,7971,399,424,1246,7057,300,463,536
Perl,46,63,47,199,941,512,312,509,94,55,55,136,76,127,104,69,34,68,73,557,92,728,154,429,848,116,256,146,224,58,68,65,85,354,746,226,78,1058,173,122,198,709,42,963,106,62,180,559,67,63,126
PowerShell,97,125,107,787,3867,1554,5339,2285,248,139,111,896,263,414,208,751,77,134,261,2664,311,5323,495,1973,5578,315,1560,274,737,267,175,153,229,1209,259,5156,133,5209,586,77,570,3625,110,5727,392,279,737,5404,320,435,507
Prolog,52,49,32,112,259,196,175,220,65,39,37,118,42,85,66,66,26,44,48,207,41,309,155,214,313,88,178,90,89,42,43,71,48,97,58,103,186,404,80,35,79,324,32,325,73,49,91,281,47,41,87
Python,284,370,203,2713,11948,6974,7710,9656,1055,260,326,3318,476,2015,773,950,120,393,1072,10710,719,14264,2270,7344,16377,1773,5594,1165,2788,901,614,692,513,3361,645,3200,388,28278,2243,181,2096,16647,224,15280,1717,990,2736,15048,498,672,2331
R,76,72,58,257,1121,623,625,813,130,62,58,273,73,187,106,137,45,100,95,768,93,1170,268,626,1326,482,389,176,269,188,78,95,73,304,133,360,86,2356,1443,52,232,1207,90,1731,240,120,251,1025,127,106,181
Raku,33,30,26,40,64,53,29,42,37,30,29,29,25,38,29,30,23,28,29,40,25,52,37,32,56,38,32,35,45,22,33,29,26,33,73,31,29,57,30,102,41,71,25,59,32,26,30,48,26,27,36
Ruby,69,86,48,272,1592,589,662,645,247,70,256,405,58,866,252,129,43,63,143,1522,118,2111,305,704,2349,158,697,216,406,59,116,130,126,456,157,305,86,1861,192,58,2601,1952,49,2093,227,128,577,2139,66,73,333
Rust,144,142,45,1162,3213,2335,1750,2245,425,88,197,819,51,992,391,405,42,98,493,2891,132,3477,1272,1314,3252,549,1576,543,1201,120,329,470,109,548,167,579,176,4581,289,69,508,9674,45,3265,479,269,740,4668,57,80,1729
SAS,31,35,33,46,108,62,94,81,37,34,31,64,37,36,30,31,29,32,34,92,34,169,38,87,186,50,64,30,44,36,29,29,35,87,38,74,31,224,100,28,51,94,160,209,44,39,47,130,38,44,38
SQL,210,262,307,1783,10569,4423,11405,6013,923,263,330,3273,1073,2021,784,1300,118,244,740,10194,764,17845,1547,8272,19784,966,5718,822,2111,555,400,470,523,5563,668,4366,313,18068,1978,154,2518,12791,253,27389,1604,894,2572,17661,662,950,1618
Scala,56,46,31,117,669,238,273,268,166,37,45,147,28,206,98,121,27,37,60,579,91,522,269,663,586,136,515,101,154,32,52,117,43,97,57,133,68,910,113,34,133,1027,37,858,1266,62,151,774,33,30,158
Solidity,38,41,30,95,320,158,212,219,49,35,35,166,32,106,56,46,29,30,48,450,39,495,94,202,600,57,178,56,94,45,47,38,43,111,39,96,39,532,70,26,87,575,33,446,68,542,127,655,33,44,106
Swift,49,65,43,224,896,509,717,679,102,58,62,609,90,215,104,104,40,50,109,836,80,1343,179,662,1534,119,1087,101,200,75,60,74,355,382,75,235,58,1376,131,32,329,1151,45,1142,122,110,2501,1449,63,80,205
TypeScript,151,177,149,1278,7544,2918,8329,4146,769,161,287,3037,224,1897,593,1112,92,125,765,8848,461,15964,1502,5437,17574,646,4878,598,1865,254,374,498,355,2729,269,2776,216,12018,775,106,1734,12747,132,12505,1134,925,2277,24409,199,382,1890
VBA,40,49,49,206,723,426,1131,620,61,60,43,208,198,84,59,122,35,55,60,471,81,1327,89,598,1419,111,349,82,175,100,36,42,89,471,85,628,48,1451,277,28,159,641,58,1686,102,75,203,942,740,320,89
Visual Basic (.Net),60,75,73,251,738,472,1790,690,85,81,73,306,138,111,80,193,50,70,90,604,100,1658,124,702,1777,87,459,90,194,124,57,52,121,555,108,717,65,1423,218,42,207,711,76,1886,124,116,280,1238,256,830,102
Zig,48,47,28,169,243,293,123,177,79,33,55,92,24,127,66,52,25,36,73,220,32,222,151,87,195,69,112,91,156,30,90,84,40,53,36,65,45,253,36,33,49,416,23,178,40,35,75,250,28,25,520
